date,SZ
2010/1/4,-1.0185
2010/1/5,1.1844
2010/1/6,-0.852
2010/1/7,-1.888
2010/1/8,0.1009
2010/1/11,0.5242
2010/1/12,1.9054
2010/1/13,-3.0944
2010/1/14,1.3519
2010/1/15,0.2675
2010/1/18,0.4015
2010/1/19,0.302
2010/1/20,-2.9266
2010/1/21,0.2225
2010/1/22,-0.9584
2010/1/25,-1.0924
2010/1/26,-2.4243
2010/1/27,-1.0859
2010/1/28,0.2523
2010/1/29,-0.162
2010/2/1,-1.6035
2010/2/2,-0.226
2010/2/3,2.3553
2010/2/4,-0.2839
2010/2/5,-1.8665
2010/2/8,-0.1438
2010/2/9,0.4657
2010/2/10,1.1414
2010/2/11,0.1006
2010/2/12,1.0931
2010/2/22,-0.4882
2010/2/23,-0.6933
2010/2/24,1.3278
2010/2/25,1.272
2010/2/26,-0.2834
2010/3/1,1.1763
2010/3/2,-0.4772
2010/3/3,0.7776
2010/3/4,-2.3775
2010/3/5,0.2544
2010/3/8,0.7313
2010/3/9,0.5211
2010/3/10,-0.6586
2010/3/11,0.0772
2010/3/12,-1.2411
2010/3/15,-1.2104
2010/3/16,0.5342
2010/3/17,1.9259
2010/3/18,-0.1439
2010/3/19,0.7111
2010/3/22,0.2225
2010/3/23,-0.6977
2010/3/24,0.1206
2010/3/25,-1.2311
2010/3/26,1.3427
2010/3/29,2.0944
2010/3/30,0.1495
2010/3/31,-0.6189
2010/4/1,1.2322
2010/4/2,0.3349
2010/4/6,0.0229
2010/4/7,-0.3311
2010/4/8,-0.9374
2010/4/9,0.8541
2010/4/12,-0.5114
2010/4/13,1.0222
2010/4/14,0.156
2010/4/15,-0.0384
2010/4/16,-1.0952
2010/4/19,-4.792
2010/4/20,-0.0256
2010/4/21,1.8038
2010/4/22,-1.1141
2010/4/23,-0.5317
2010/4/26,-0.4704
2010/4/27,-2.0736
2010/4/28,-0.2613
2010/4/29,-1.0998
2010/4/30,0.076
2010/5/4,-1.2309
2010/5/5,0.7715
2010/5/6,-4.1107
2010/5/7,-1.8732
2010/5/10,0.3859
2010/5/11,-1.8965
2010/5/12,0.3075
2010/5/13,2.0632
2010/5/14,-0.512
2010/5/17,-5.0692
2010/5/18,1.3614
2010/5/19,-0.2688
2010/5/20,-1.2314
2010/5/21,1.0791
2010/5/24,3.4798
2010/5/25,-1.8999
2010/5/26,0.1206
2010/5/27,1.1473
2010/5/28,-0.0057
2010/5/31,-2.3955
2010/6/1,-0.9206
2010/6/2,0.1223
2010/6/3,-0.7298
2010/6/4,0.0367
2010/6/7,-1.6394
2010/6/8,0.0883
2010/6/9,2.7814
2010/6/10,-0.824
2010/6/11,0.2873
2010/6/17,-0.3773
2010/6/18,-1.8367
2010/6/21,2.9042
2010/6/22,0.0962
2010/6/23,-0.7272
2010/6/24,-0.1217
2010/6/25,-0.5426
2010/6/28,-0.687
2010/6/29,-4.2688
2010/6/30,-1.1818
2010/7/1,-1.0248
2010/7/2,0.3837
2010/7/5,-0.7954
2010/7/6,1.9238
2010/7/7,0.4853
2010/7/8,-0.2465
2010/7/9,2.3093
2010/7/12,0.8011
2010/7/13,-1.6233
2010/7/14,0.8225
2010/7/15,-1.8675
2010/7/16,-0.0014
2010/7/19,2.1099
2010/7/20,2.1535
2010/7/21,0.2635
2010/7/22,1.0654
2010/7/23,0.3755
2010/7/26,0.6475
2010/7/27,-0.5144
2010/7/28,2.2636
2010/7/29,0.5488
2010/7/30,-0.4008
2010/8/2,1.3275
2010/8/3,-1.703
2010/8/4,0.4385
2010/8/5,-0.6733
2010/8/6,1.436
