date,000100_close,000100_predict,000002_close,000002_predict,600703_close,600703_predict,000708_close,000708_predict,601390_close,601390_predict,601318_close,601318_predict,601668_close,601668_predict,601857_close,601857_predict,300035_close,300035_predict,600111_close,600111_predict,600011_close,600011_predict,600406_close,600406_predict,002236_close,002236_predict,600809_close,600809_predict,600346_close,600346_predict,000651_close,000651_predict,002241_close,002241_predict,000977_close,000977_predict,600893_close,600893_predict,000002_value,000100_value,000651_value,000708_value,000977_value,002236_value,002241_value,300035_value,600011_value,600111_value,600346_value,600406_value,600703_value,600809_value,600893_value,601318_value,601390_value,601668_value,601857_value,000100_return,000002_return,600703_return,000708_return,601390_return,601318_return,601668_return,601857_return,300035_return,600111_return,600011_return,600406_return,002236_return,600809_return,600346_return,000651_return,002241_return,000977_return,600893_return
2010-01-04,5.19,,10.6,15.5071,58.03,44.9033,12.11,,6.23,,53.89,66.762,4.67,6.22,13.63,16.35,48.86,,28.11,,8.01,10.1625,48.0,,76.79,,42.39,,8.1,,28.16,,29.32,25.9,10.28,,26.35,,11654922.8311,1524267.2637,5290116.48,544233.6693,221020.0,512957.2,703680.0,300489.0,9656362.1354,2269455.228,170100.0,1224288.0,1428611.259,1835165.3998,1165556.9884,39582492.4169,13269837.7,14010000.0,249457592.7659,,,,,,,,,,,,,,,,,,,
2010-01-05,5.35,,10.36,15.5071,57.79,44.9033,12.5,,6.24,,54.57,66.762,4.63,6.22,13.89,16.35,47.9,,28.56,,8.09,10.1625,46.9,,74.63,,42.44,,8.4,,27.34,,29.8,25.9,10.74,,27.16,,11391037.7858,1571258.162,5136071.895,561760.6,230910.0,498528.4,715200.0,294585.0,9752805.203,2305785.888,176400.0,1196231.4,1422702.8203,1837330.0205,1201386.2545,40081956.0436,13291137.6,13890000.0,254216138.1892,0.030828516377649162,-0.02264150943396226,-0.00413579183181112,0.03220478943022309,0.0016051364365969878,0.012618296529968376,-0.008565310492505307,0.019075568598679427,-0.019647973802701668,0.016008537886873064,0.009987515605493158,-0.022916666666666696,-0.028128662586274444,0.0011795234725169301,0.0370370370370372,-0.029119318181818232,0.016371077762619368,0.04474708171206232,0.030740037950664156
2010-01-06,5.23,,10.36,15.5071,59.89,44.9033,12.33,,6.19,,53.41,66.762,4.59,6.22,13.7,16.35,47.79,,28.24,,8.04,10.1625,47.02,,74.6,,41.69,,8.24,,26.75,,30.53,23.9886,10.54,,27.81,,11391037.7858,1536014.9883,5025234.9375,554120.6558,226610.0,498328.0,732720.0,293908.5,9692528.2858,2279950.752,173040.0,1199292.12,1474401.6596,1804860.7105,1515051.5847,39229929.8569,13184638.1,13770000.0,250738739.6107,-0.0224299065420559,0.0,0.036338466862779084,-0.013599999999999945,-0.008012820512820484,-0.02125710097122968,-0.008639308855291628,-0.01367890568754504,-0.002296450939457184,-0.011204481792717047,-0.006180469715698522,0.0025586353944564433,-0.000401983116709137,-0.0176720075400566,-0.01904761904761909,-0.0215801024140454,0.024496644295302072,-0.01862197392923659,0.023932253313696528
2010-01-07,5.19,,10.28,12.4,62.99,44.9033,11.89,,6.1,,52.42,66.762,4.53,6.22,13.61,16.35,47.78,,27.44,,7.86,10.1625,45.5,,72.16,,39.62,,7.89,,25.6,,29.75,23.9886,10.66,,28.08,,11303076.1041,1524267.2637,4809196.8,534346.6827,229190.0,482028.8,714000.0,293847.0,9475531.3838,2215362.912,165690.0,1160523.0,1550718.9938,1715245.4149,1529760.8233,38502769.5768,12992939.0,13590000.0,249091550.8103,-0.007648183556405397,-0.007722007722007707,0.05176156286525302,-0.03568532035685312,-0.014539579967689953,-0.01853585470885588,-0.013071895424836555,-0.006569343065693456,-0.00020924879681938346,-0.028328611898016942,-0.02238805970149238,-0.03232666950233953,-0.032707774798927614,-0.049652194770928304,-0.04247572815533984,-0.04299065420560744,-0.02554864068129714,0.011385199240986799,0.009708737864077666
2010-01-08,5.28,,10.35,12.4,62.99,44.9033,12.09,,6.13,,52.11,66.762,4.55,6.22,13.45,16.35,45.66,,27.13,,7.86,10.1625,46.72,,72.7,,38.79,,7.95,,26.19,,30.1,23.9886,11.73,,28.17,,11380042.5756,1550699.644,4920033.7575,543334.8523,252195.0,485636.0,722400.0,280809.0,9475531.3838,2190335.124,166950.0,1191640.32,1550718.9938,1679312.7119,1534663.9029,38275072.9235,13056838.7,13650000.0,246163215.1652,0.01734104046242768,0.006809338521400754,0.0,0.016820857863750982,0.004918032786885185,-0.005913773368943165,0.004415011037527394,-0.011756061719324085,-0.04437002930096279,-0.011297376093294509,0.0,0.026813186813186896,0.007483370288248414,-0.02094901564866225,0.0076045627376426506,0.02304687499999991,0.0117647058823529,0.10037523452157604,0.003205128205128416
2010-01-11,5.2,,10.18,12.4,62.99,72.71333333333332,12.0,,6.12,,52.37,66.762,4.56,6.22,13.72,16.35,44.99,,27.0,,7.86,10.1625,46.5,,74.18,,38.6,,7.85,,25.45,,32.8,23.9886,11.73,,28.86,,11193124.0019,1527204.1949,4781017.9125,539290.176,252195.0,495522.4,787200.0,276688.5,9475531.3838,2179839.6,164850.0,1186029.0,1550718.9938,1671087.1534,1572254.1795,38466044.3102,13035538.8,13680000.0,251104781.5663,-0.015151515151515138,-0.01642512077294689,0.0,-0.007444168734491274,-0.0016313213703099683,0.0049894454039531855,0.00219780219780219,0.02007434944237918,-0.014673674989049368,-0.004791743457427167,0.0,-0.004708904109589018,0.020357634112792455,-0.004898169631348259,-0.012578616352201366,-0.028255059182894282,0.08970099667774067,0.0,0.024494142705005162
2010-01-12,5.34,,10.29,15.1188,69.29,72.71333333333332,12.19,,6.21,,52.86,66.762,4.59,6.22,14.28,16.35,45.76,,27.97,,7.86,10.1625,47.36,,76.03,,40.18,,8.07,,25.89,,32.51,23.9886,12.9,,29.47,,11314071.3143,1568321.2309,4863675.9825,547828.9371,277350.0,507880.4,780240.0,281424.0,9475531.3838,2258152.356,169470.0,1207964.16,1705815.5116,1739489.1664,1605486.1632,38825951.9235,13227237.9,13770000.0,261353956.3241,0.026923076923076827,0.01080550098231825,0.10001587553579938,0.015833333333333366,0.014705882352941124,0.009356501814015594,0.006578947368421018,0.04081632653061207,0.017114914425427674,0.03592592592592592,0.0,0.018494623655914033,0.024939336748449614,0.040932642487046644,0.028025477707006363,0.0172888015717092,-0.008841463414634099,0.09974424552429673,0.02113652113652109
2010-01-13,5.35,,10.04,15.1188,71.51,72.71333333333332,11.93,,6.07,,50.32,66.762,4.5,6.32,13.83,17.5,45.32,,27.06,,7.86,10.1625,47.45,,74.63,,39.44,,7.98,,25.4,,33.16,23.9886,14.19,,29.55,,11039191.0589,1571258.162,4771624.95,536144.3166,305085.0,498528.4,795840.0,278718.0,9475531.3838,2184683.688,167580.0,1210259.7,1760468.5703,1707452.7806,1609844.4562,36960308.3767,12929039.3,13500000.0,253118012.3223,0.001872659176029856,-0.024295432458697808,0.03203925530379559,-0.02132895816242819,-0.02254428341384862,-0.04805145667801736,-0.019607843137254832,-0.031512605042016806,-0.009615384615384581,-0.032534858777261366,0.0,0.0019003378378379399,-0.01841378403261873,-0.018417122946739695,-0.01115241635687736,-0.01892622634221719,0.019993848046754747,0.09999999999999987,0.002714625042416152
2010-01-14,5.81,,10.03,15.1188,70.51,70.405,12.35,,6.11,,50.98,66.762,4.53,6.32,13.88,17.5,46.75,,27.3,,7.86,10.1625,50.74,,75.49,,41.05,,8.27,,26.28,,33.59,23.9886,15.03,,30.0,,11028195.8487,1706356.9947,4936941.09,555019.4728,323145.0,504273.2,806160.0,287512.5,9475531.3838,2204060.04,173670.0,1294174.44,1735850.0754,1777153.566,1634359.854,37445081.8967,13014238.9,13590000.0,254033117.2114,0.08598130841121487,-0.0009960159362549792,-0.013984058173681979,0.035205364626990754,0.006589785831960571,0.013116057233704126,0.006666666666666821,0.003615328994938549,0.031553398058252524,0.008869179600887067,0.0,0.06933614330874605,0.011523516012327484,0.04082150101419879,0.036340852130325674,0.03464566929133861,0.012967430639324595,0.059196617336152224,0.015228426395939021
2010-01-15,5.89,,10.14,15.1188,71.27,70.405,12.45,,6.12,,51.08,66.762,4.55,6.32,13.78,17.5,46.9,,27.55,,7.86,10.1625,51.99,,73.7,,40.93,,8.33,,25.91,,34.18,23.9886,15.03,,29.75,,11149143.1611,1729852.4438,4867433.1675,559513.5576,323145.0,492316.0,820320.0,288435.0,9475531.3838,2224243.74,174930.0,1326056.94,1754560.1315,1771958.4764,1620740.1886,37518532.4301,13035538.8,13650000.0,252202907.4332,0.013769363166953541,0.010967098703888567,0.010778612962700107,0.00809716599190291,0.0016366612111291534,0.001961553550412054,0.004415011037527394,-0.007204610951008772,0.0032085561497325887,0.009157509157509125,0.0,0.024635396137169918,-0.02371174990064895,-0.002923264311814777,0.007255139056832061,-0.014079147640791545,0.01756475141411129,0.0,-0.008333333333333304
2010-01-18,6.03,,10.09,15.1188,71.27,70.405,12.33,,6.09,,50.33,66.762,4.53,6.32,13.72,17.5,46.36,,27.29,,8.02,10.1625,51.66,,73.29,,41.22,,8.44,,25.89,,34.5,23.9886,15.03,,29.68,,11094167.11,1770969.4798,4863675.9825,554120.6558,323145.0,489577.2,828000.0,285114.0,9668417.5189,2203252.692,177240.0,1317639.96,1754560.1315,1784513.2762,1616926.6822,36967653.43,12971639.1,13590000.0,251104781.5663,0.02376910016977929,-0.004930966469428033,0.0,-0.009638554216867434,-0.004901960784313819,-0.014682850430696948,-0.004395604395604269,-0.004354136429608024,-0.011513859275053329,-0.00943738656987303,0.020356234096692072,-0.006347374495095259,-0.005563093622795057,0.007085267529929107,0.013205282112844996,-0.0007719027402547374,0.009362200117027486,0.0,-0.0023529411764705577
2010-01-19,5.9,,10.06,15.1188,71.27,70.405,11.98,,6.1,,50.58,66.762,4.53,6.32,13.85,17.5,45.48,,27.44,,8.02,9.8,50.44,,75.49,,39.84,,8.33,,26.0,,33.3,23.9886,15.03,,29.68,,11061181.4793,1732789.375,4884340.5,538391.359,323145.0,504273.2,799200.0,279702.0,9668417.5189,2215362.912,174930.0,1286522.64,1754560.1315,1724769.7459,1616926.6822,37151279.7634,12992939.0,13590000.0,253484054.2779,-0.021558872305140975,-0.0029732408325073845,0.0,-0.02838605028386043,0.0016420361247946325,0.004967216371945193,0.0,0.009475218658892004,-0.018981880931837836,0.005496518871381584,0.0,-0.023615950445218692,0.030017737754127305,-0.033478893740902405,-0.013033175355450122,0.004248744689069106,-0.034782608695652306,0.0,0.0
